﻿原文,译文
刹那间，他看上去失落至极，但转瞬又拾起了那副满不在乎的伪装。,
继续前进吧。离开此处，从头来过。,
多谢！,
你可认识一个姑娘？她和某个叫凯尔特拉姆的男人是朋友。,
只要你别来烦我，爱上哪儿随你便。,
你的侍卫们环顾彼此，微笑颔首——他们身边全是值得信赖之人。,
剿灭那些搜寻难民的基督徒。,
{离开帐篷。},
我们已将他逼得够紧了。人都有一个崩溃的临界点。,
出什么事了？,
你就是帕尔尼？,
所以呢？,
你真想知道？,
我们去收拾行装，告诉我们该跟着谁。,
埃塞尔雷德干笑一声，毫无笑意。,
女猎手拭去眼中的泪水。,
我们该拿他们怎么办？,
若耶灵与斯凯恩之间真到了兵戎相见的地步，你会站在我们这边吗？,
我……没想到此事竟如此容易。,
我是诺森布里亚边境一个小氏族的首领。这是我们的传统礼袍。,
行吧，只求你别等到它断了才想法子——到那时可就来不及了。,
一群窃贼！简直是闻所未闻！,
嘿，这不是我们的救命恩人嘛！真高兴再见到你，朋友。,
他脸上的笑容旋即消逝。,
这些人利用了一些显然他们自己都一知半解的罗马文化元素，拼凑出了一套本土神话。我怀疑这位叫瓦莱里乌斯的人物，正是其中的核心。,
我想这儿没我们的事了。望你早日康复。,
{顺从地投入他的怀抱。} 也罢，若这是免动干戈的唯一法子。只是别对我动真情。,
你在黑暗中摸索前行，双臂前伸以探路。你愈发焦躁不安起来，因为这隧道似乎长得让你肺里的那口气快撑不到头了。,
他咧嘴假笑，眼底闪过一丝癫狂的光。,
你和你那帮打手？你当我们傻吗？,
不。那种指引带给你的，不过是[i]虚假的[/i]安全感罢了。,
当你走上前时，吟游诗人朝你投来期待的目光。,
我想阿斯莱夫不至于蠢到会中那种圈套。,
不敢冒险，便难有所获。,
内菲亚撩起裙摆一角，让你瞥见了她撒克逊刀的刀鞘。她心领神会地冲你眨了眨眼。,
感觉咱俩翻来覆去聊的总是那点事。,
荒谬透顶。罗马的奠基者？简直荒谬！,
你就是赫里沃德？,
{消耗30根绳索。}把货物捆牢了！,
妈妈的农场真该好好拾掇一下了。栅栏有两处都破了！那些原牛居然还没跑出去，也是稀奇。,
妈的！你[i]明知道[/i]这话落下了可就抹不掉了。,
给这帮人一个惨痛的教训，我倒是不介意。,
他扬起斧头，直直地指向你。,
去跟斯卡拉格里姆谈谈。,
端坐在王座上，头顶奥斯雷德的王冠，埃塞尔雷德终于显出了几分他命中该有的为王气度。,
屋子里泛起一阵不满的窃窃私语，但无人敢站出来直言。斯卡拉格里姆似乎对此无动于衷。,
不过这话听着，倒真像是在提醒你得小心自己的背后了，不是吗？,
那些石头是用来做什么的？,
罗斯克瓦眼下不在这儿，或许反倒是件好事——哪怕只有一丝风吹草动，让她察觉到自己可能会在凯尔这样的女人面前多出一个情敌，都足以将她直直拽入最幽暗的深渊。,
艾布琳着实顽强抵抗了一番，但我们最终还是击败了她。,
老牧师呜咽一声，但还是点了点头。当你手下的人洗劫屋子时，孩子们全都挤在他身后缩成一团。,
你[i]居然[/i]敢质疑我的统率？！,
好在你们的袋子里没装什么抢来的宝物，所有零碎玩意都贴身藏好了。守卫们明显松了口气。,
战斗是赢了，可这场战争已经输了——再多的复仇，也改变不了那名年轻学徒已死的事实。,
更别提那次你还向我挑起决斗，妄图把我从领主之位上拉下来。,
您的提议很是慷慨，但我另有打算。,
如果这是你最终的决定，那就这样吧。不过，你若是改了主意，知道该去哪儿找我的领主大人。,
基利安盖好自己的罐子，目光里透着困惑，仿若要穿过那层薄布似的眨了眨眼，然后把罐子递给了你。,
步入林木茂密之处，你开始每隔一阵就呼喊凯蒂尔的名字。有那么一刻，你恍惚觉得树丛间有人在窥视着你。影子一晃，那身影便消失无踪了。,
要操控一艘长船至少需要十人。招募所有愿意跟着你的族人，然后到里伯去雇些佣兵凑齐人手。,
明白了。领主[Player:Name]，对此你有何见解？你觉得自己有能力守住这片峡湾吗？,
老人愤然提高嗓门，引得众人纷纷侧目。,
那还用说。和平者贡纳尔本身就是一股狂野的天威。,
他嘴角上扬，扯出一个野性十足的狞笑。,
若你细察我们的仪式，我相信你自会发现，官方教义的种种精义，皆已尽数涵括其中。,
劫掠者拉格瓦尔德看起来状况很糟。他倒在炉火前浸透了鲜血的兽皮上，发着高烧胡言乱语，虚弱地捂着肚子——西格丽德的一支箭杆还嵌在那豁开的伤口里，触目惊心。,
英吉马尔用袖子抹了把嘴，咧嘴露出大大的笑容。,
阿斯莱夫再度后退，容内菲亚从方才的攻势中缓过劲来。趁她蓄势准备下一回合之际，他对你开了口。,
我明白，你当时不过是恪尽领主之责，护佑部族周全。正因如此，我更该心存感激。,
约维塔看上去有几分忐忑，那神情，活脱脱就像个正密谋着要把自家上司做掉的同谋。,
我[i]确实[/i]不一样。在我所有族人当中，唯有我将你击败了。别了，卡乌斯坦丁。,
哪来的什么军队，领主？我们不过有几条船，外加几伙七拼八凑的劫掠者。若你指望靠这些去进犯诺森布里亚或是皮克塔维亚，前头的路还长着呢。,
让我助你一臂之力！,
尊贵的[Player:Hlaford/Hlafdia][Player:Name]！[Player:Velkominn/Velkomin]回到我这简陋的小摊前。近来我所耳闻的，可尽是些关于您的[i]溢美盛赞[/i]，您放心，我的开价绝不会辱没了您的名声。,
她咳得又深又重，听着骇人——还在发烧。她已缠绵病榻数周之久。您能帮帮她吗？,
拆解一艘船可不是什么省力的活计，光是工钱就要吞掉一半的利。我把价码提到150，这可是我最后的底价了。,
这事儿没门。内夫娅，你跟不跟我？,
蜜酒,
怎么样了，[Player:兄弟/姐妹]？,
论打造盔甲，我不比这儿任何人差，但我的绝活是兵器——当然，得是在我没被钉马掌、补锅碗这些杂活儿缠住的时候。,
一条硕大的黑犬，眼中燃烧着地狱之火！凡是见过它的，都活不了。,
快瞧这个！,
我对女人可没那种心思。,
放心，我们肯定不会亏待你。银子如何？还是名贵的宝石？,
那[i]要命的[/i]世仇当然还在。积怨老得跟原罪似的，永无止境，除非所有人死绝了才算完。这就是高地的规矩。,
嗯，四下都安全。,
你这狗娘养的！,
他又逼近一步，逼得你别无选择，只能后退。他几乎把你死死顶在了屋墙上。,
行，先别动。,
趁我还没失去耐性，你最好别再跟我满嘴谎话。,
{什么都不给。} 我们的敬意，会用行动来证明。,
杀害斯库勒的凶手四下张望，仿佛在找什么东西。,
村里人告诉我，诺托尔夫拖着那可怜的姑娘朝那个方向去了。,
祝你们安康，旅人。愿精灵指引你们的前路。,
祝你旅途好运。,
"你对我没有主权！你没有任何权利,什么也不欠你！要杀就杀吧。若真如此，反倒是[i]成全[/i]了我。",
行。拿上钱，我们走人。,
奥克尼群岛的奴隶贩子赫丁维，早先从斯泰因手里买过几个奴隶，可他们冬天全逃了。你主动提出帮她把人抓回来。,
我跟追你的人小有交手。桥那边清静了。,
{把你的指关节按得咔咔作响。},
有一伙强盗专劫过路旅人。,
当然。谁都知道你是诺森布里亚的朋友。,
你瞧得出，这番话起作用了。那小偷回头瞥了同伙一眼。,
呃——呃。你……你这是要还价？,
我手艺在木头上，嘴皮子可不利索。,
奥塔尔那几个幸存的兄弟，也慢慢爬起身来。可谁眼里都没有再打下去的劲儿了。,
哦，呃……行吧。那，祝你们一天顺利。,
贡纳尔自顾自地低声笑了。,
你这儿卖腌肉吗？,
你决定把东西都留下，便把所有物品从袋子里一股脑拽出来，分给了手下侍卫。,
枯萎的花朵,
{消耗6份油脂，涂遍全身。},
你怎么做？,
凶手已伏诛。,
我找到了！一套完整的古代铭文破译索引！,
[Random01:Name]把某位郡长的侍卫全喝趴在了桌子底下，后来被人抬到谷仓里，睡得跟死猪一样醒酒去了。,
我也许不赞同你的决定，但我敬重你的道理。我跟着你干。,
一把形状古怪的小铜钥匙。一看就是古物，每个凹陷处都生着斑斑点点的铜绿。,
不！[i]求你了！[/i],
你到底来了。我早知道，你站在这里不过是迟早的事。,
“精灵骑士”重重地陷了下去。,
好。,
{挣脱开。} 不行。我做不到。,
你将注意力重新转回那老妇人身上。,
晨安，尊敬的首领。,
我的大军已向诺森布里亚边境进发。我说我还有新的要求要提，你大概不会意外。,
我们是来帮忙的。,
何不让[Healer:Name]替你瞧瞧那伤？,
关于那隐士，你有什么能告诉我的？,
长驱直入,
操！,
他面朝下趴着，背部和双臂被撕得稀烂，脚踝和小腿周围也尽是伤口。,
[Player:Name]，我的好[Player:孩子]，你父亲的事我很难过。在这艰难时日，若是耶灵百姓有什么能帮到你的，一定开口。,
这等威严神力，令人敬畏。我们该献上何种祭品？,
难道就没人见他离开？,
好在我带了这群全副武装的武士。路上可不能让这些萤火虫有什么闪失。,
女猎手的眉毛微向上挑，但语气依旧客气。,
那么，外乡人，你让这个国度变好了一点。待你攻打邪教徒时，算上我们一份。,
这事背后另有隐情，远非流言所能道尽。,
你与众侍卫取出油脂，毫不吝惜地互相涂在衣物与甲胄上。虽然浑身难受，但现在要挤过那个狭窄洞口，想必不成问题了。,
你们这群人看着怪凶悍的。但愿不是来这儿找麻烦的。,
[Insulted:Name]低声咕哝着。,
我大概就是还没碰上个看得顺眼的人。,
什么？领主[Player:himself/herself]大人要亲自去为我觅食吗？你父亲管事那会儿可不是这样的！,
悬赏：异教徒,
是北方人——他们乘船渡海而来，正从南北两头夹击。,
肮脏交易,
提炼自北欧奇菌的萃取物，能令你的攻杀愈发凌厉，只是行事会少几分谨慎。,
操，他们到底对你做了什么？,
我只能向你担保，这些奴仆个个听话，身子骨结实，干起活来也不惜力。,
就凭你们这点可怜的防御工事，根本拦不住一艘长船。,
在水池的另一头，几块突起的岩石上，你发现了一些箱子，旁边残留着长期有人居住的痕迹。大餐后丢弃的骨头和几件铺盖散落一地。,
我——恳请你——把命运与伍尔夫西格绑在一起吧，[Player:Name]。求你了！诺森布里亚会成为我们强大的盟友！,
把巨魔树皮交给里伯的女祭司。,
我们本不该对你抱有什么指望。可你却让所有人都刮目相看。你在危难之际投奔我们，又冒了奇险，才促成了这份盟约。,
她张口欲呼，却又硬生生把话吞了回去。拳头在身侧攥紧，喉咙里挤出一声闷哑的尖叫，跟着一甩脚跟，大步走开了。,
埃吉尔接着将那山川地貌一一道来，描述得绘声绘色，更细细指点了通往那藏宝洞的路径。,
哈！跟你说实话，如今呀，可是这小子养着我这把老骨头，哪里轮得到我来养他。,
铁匠铺里，一个学徒在炉子旁叮叮当当地敲打着什么，而铁匠本人已经在院子里迎候你了。,
别跟我磨蹭，直说你想要什么，我好打发你走。,
主教打量着你，眼中满是怀疑。,
你没去救你的主子。,
看着倒像是她自个儿乐意来的，不过依我看，她怕是不知道自己栽在了怎样一个无赖手里。,
我们打他们那里打对了——既然拿下了哈德良长城，我们的军队就能直穿城门，趁他们还没回过神，一举拿下珀斯和约维克。,
我们如今势单力薄，又树敌太多。防御必须加固。,
你背叛了我，[Player:Name]！我原以为自己是你们中的一份子！早该醒悟的。,
我就知道你能懂。,
把那个逃走的家伙找出来。,
你一头扎进水池。黑暗瞬间吞没了视野，但隧洞的大致轮廓，你仍能分辨。,
本打算乘船回考庞去——至少原本是这么想的。打那之后呢……？或许再回奥克尼群岛，去和兄弟们团聚。,
拿了咱们要的，赶紧走！,
{展示证据。} 事办妥了。,
这耻辱，你得学会自己咽下。,
承蒙款待，荣幸之至。,
唔，要是你家小子当真在信仰上着了魔，你就得让他自个儿去闯过去。,
你想帮忙？不是来趁火打劫的？,
那你呢？你打哪儿来？,
接着来吧。,
{献上2份口粮。} 敬一杯蜜酒，求索尔神开恩。,
远道而来的旅人，愿你们安好。欢迎来到圣威尔弗里德教堂。你们……看着可不像是本地人。我寻思，诸位怕也不是来听布道的吧？,
厨房的炉火边上，可以给他挪个角落。只要他肯塌下心干一整天活儿，那地儿就是他的。,
多谢你帮我找到他们，[Player:Name]。你才是真朋友。,
或许还来得及，能救下那个学徒。,
你可准备好了？,
这边还有另一位治疗师——拉希尔。她一个人孤零零住在高地那边，心里头恨透了我。我也说不上为什么。我琢磨着，大概她天生就是这么个善妒的泼妇罢了。,
你随时可以把船泊在这儿。不会有人为难你。,
这儿不过是霍尔姆斯兰沙丘。,
有你做我的[Player:兄弟/姐妹]，夫复何求。我总会闯过这道坎的。多谢你了。,
想个法子，把鼠辈帮从雅达尔的地盘上撵走。,
住手！你这个畜生！你想知道什么，我全告诉你就是了！,
第三日他从死者中复活；他升了天，坐在圣父的右手边，将来必从那里降临，审判活人与死人。,
{离开。},
就一身换洗衣服？,
说得一点没错。往这儿来的路上，我们折损了多少好儿郎。南部隘口一战，好几个郡征召来的兵丁，就那么整建制地全交代了。,
这不是你的东西。要是你觉得不爽，尽管来试试抢走它。,
这些标记描绘了这样一个地方——世界的心脏在那里崩裂岩石，冲天而起。它被描述为某种岩石王座。,
战斗结束后，艾布琳立刻接手指挥救治伤员。直到所有人都被安全送进棚屋接受治疗，她才在她武器旁的井边石头上坐下，暴露出她有多疲惫。,
我会考虑。,
一个男人说话算话。我以巴德尔的名义起誓，我告诉你的是真话。,
我们和皮克特人一向关系密切，但习俗不同——就像你注意到的，那整套纹身？我们不搞那些。,
看起来过会儿可能要下雨……,
我不想让格蕾妮死，但这由不得我。,
干这行就得冒这种险。希望你还有比这更好的说法。,
别碍我的事就行。,
赫丁维看起来有点不悦，但她只是耸耸肩，摇了摇头。,
瓦达看起来又惊又喜。,
他们在北边一天路程的地方扎了营，霍恩湖附近悬崖边的一处小海湾里。他们把国王关在悬崖底部的一个小洞穴里。,
苏森没法让自己说完那句话。她被羞愧淹没，把注意力转回到了她的陶器上。,
马班叹了口气，很是失望。,
瓦达请求你协助郡长西卡，追捕亡命徒和埃塞尔雷德国王的敌人。,
要是我们还能像以前那样自己种药草，事情就会容易些。,
贡纳尔发出一阵爽朗的大笑。,
来自乌特加德的污秽巨人！我们干掉了他们，不过那场战斗值得让诗歌去传唱！,
比约格迪丝转身将艾芙拉拥入怀中。,
库思拉德看向他的同伴们，他们似乎不介意这个主意。,
那是……那些是袭击我们家园的狗崽子吗？！,
他们交换了一下眼神。,
号角哐当一声砸在地上，被污染过的蜜酒洒了一地。你拔出武器，你的同伴们也纷纷照做。,
我知道这很危险，但我还是要去！,
这顶王冠头饰与你从雇佣杀手身上找到的项链坠饰惊人地相似。同样的材质，同样的图案。毫无疑问。,
与此同时，我们会着手进行自己的准备。,
别的维京人袭击了唐库斯的家园，把他劫为人质。幸好，我们是更好的维京人。,
斯库勒为什么要试图置你于死地？,
拜托……讲讲道理。我会……好吧！好吧，你可以停下你那该死的船！把刀收起来！,
我想你有一段麻烦的过往？那我为你终有机会做个了结而高兴。,
贡纳尔怎么样？,
那已经太迟了。地下之人的殿堂已遭侵扰，他们会向我们所有人降下可怕的复仇！,
谢谢你们这场战斗。你们是值得尊敬的对手。,
我叫埃吉尔。我有个提议。,
你打算怎么处置这具尸体？,
尽管你有着极易招人劫掠的特质，但我们今日的差事是和平的。,
也许那并非最好的办法。,
诺森布里亚的国王坐在椅子最边缘，双手各紧抓着一边的扶手，伸长脖子清点着进入他厅堂的你的亲卫队人数。,
腐肉食者,
仔细想想，也许只有拉赫兰之子凯蒂尔是。,
一旦我们封住那些发令者的嘴，整座城市的防御行动便会土崩瓦解。,
你抵达珀斯的消息一传来，我就知道与你在战场上兵戎相见是迟早的事。,
-贼！把猪还回来，不然就……,
他其实看起来相当失望。,
四根木杆都已被移除了。,
放了他们也许能制造一场混乱。,
我看看能不能说服他们自己离开。,
抱歉。,
斯泰因不屑地哼了一声，随即又投来一个抱歉的眼神。,
胡尔达的眼神变得有点呆滞。,
好！好！嗯！呃……祝好运。祝你们所有人。,
王者之剑,
守卫们交换了不悦的眼神。占卜师举起双手表示和解。,
那吻来得几乎让你没意识到自己已倾身向前。对于如此强势的女人来说，这吻竟出奇地温柔。,
是我眼花了不成？凯特的艾菲？,
他们想逃，但被我们逮住了。他们昏倒在栅栏外不远处。,
我们没事。有两个那种粗野的莽夫闯进来偷了银器，但没伤害我们。,
[Archer01:Name]双臂交叉，[Archer01:his/her]声音里流露出一丝挫败感。,
那我[i]就[/i]战斗到底！我会活下来，我会让你后悔留我一命！,
嗯。好个大胆的主意，莫尔坎特。行，我们就给你个机会。,
入侵到此为止。从今往后，我便是诺森布里亚与皮克塔维亚的新[Player:国王/女王]。,
离我远点。给我滚远点，你这怪物。,
他跟西克加的描述倒是吻合，可总有些不对劲。他为何穿着盔甲？,
我真不知道该拿她怎么办。有时候，我甚至想过……替她做个了断。做起来倒不难。动手而已。可心里这道坎，实在迈不过去。,
盖乌斯夸张地长叹一声，双手一摊。,
是你逼我动手的。对不住了。,
你犯不着怕我们。你是在躲桥上那帮人吗？,
我会尽力多备些货，恭候您下次光临。,
请女猎手西格丽德帮你一道给阿斯莱夫设个陷阱。,
他的意思是，咱们眼下就像一块肥美多汁的肉，谁见了都想咬一口。,
去和斯卡拉格里姆谈谈。,
这是法兰克人的神的十字架。阿斯特丽德提起过，他们在这儿就拜这神。,
见到你我当然高兴。你不在这儿的时候，我们都替你悬着心。,
胡尔达对世间万物的运行之道体察入微。我便是穷尽余生去追寻，怕也学不到她已遗忘的十之一二。,
什么？我吗？呃……那好吧。跟我来。,
愿你健壮又幸运，亲爱的。你这张脸可不常在这儿露面。怎么，需要老胡尔达搭把手吗？,
女猎手发出一声挫败的低吼。,
陷阱。,
努基在桌边转来转去，精心挑拣着吃食，慢慢品味自己的选择。你走近时，他脸上闪过一丝鬼祟，但随即就重新振作，挺起了胸脯——连带着那圆滚滚的肚子也一并腆了出来。,
可你若打算跟他们动手……我劝你小心，别伤着任何一个孩子，除非你不在乎自己的名声。,
承蒙奥丁神力，你们那点可怜的防御已被我们碾得粉碎。用不了多久，你们都将归于众神之父麾下！,
眼下只剩下夺取埃奥福维克城，把那个在王座上赖得太久的奥斯雷德给拽下来。,
在你动身返回海滩前，内菲娅再次拥抱了比约格迪丝。她只回过头一次，向母亲投去最后的一瞥。,
那群后生顿时慌了神，像被树枝折断声惊了的鹿一样四散奔逃，有的冲向帐篷，有的蹿向近旁的树丛。他们飞快地从灌木和兽皮下抽出藏好的兵刃，转过身来对着你。,
她冲你粲然一笑。,
{献出你身边的一名雇佣侍卫。},
是啊，咱们这差不多就等于跟她全族宣战了。她夹在中间，自然左右为难。,
我真没看出托尔芬还有这胆色。这下可好，往后都不好意思再叫他来帮我修屋顶了！,
等我早上醒来，她又在那儿了。就像平常一样，静静地睡着。,
他们在靠海的地方有个小农庄，打这儿往东北偏东走。要是你没伤他们性命，兴许他们如今还住在那里。,
女巫诅咒,
永恒之枪,
就因为我父亲让你失望了？,
愿你健壮又幸运。我叫[Player:Name]。我们想采购些补给和马匹。,
他们可立过誓的。要是还有半分廉耻，就该信守承诺。,
你的任务进展如何？,
我觉得前头有陷阱。,
能与你并肩而战，是我的荣幸。,
亡者释放者,
你非死不可。安心上路吧。,
呵。这风声，想必是教会在本地的那几位给放出去的。,
意欲何为，维京人？若你给不了我复仇的机会，你我便无话可谈了。,
论如何治理邓弗里斯，再没人比邓弗里斯人自己更在行。什么摊派，什么教会税，统统见鬼去吧！我们如今才是自己命运的主宰，日子过得可比从前滋润太多了！,
嗯。一帮怪人。,
你四下转转，该能找到你需要的所有东西。你想要什么？,
拦住你的女人身形精瘦，却生着一双肌肉结实的臂膀和一副宽胯。她的嗓音低沉，透着不容置疑的魄力。,
那的确是场极好的盛宴，往后好一阵子我都操办不起了。等我再开宴，必定给你留一席。,
你的头一件差事，就是把这地方拾掇出来，好容纳更多的战士。等他们陆续到了，你便帮着安排大伙儿都安顿下来。,
你对阿斯莱夫有什么看法？,
你走后，我给托尔献了祭，就在当晚，他便用一道闪电劈中了那棵大柳树。他把你平安带了回来，正如他向我显明的预兆一样。,
[Skeptical:Name]晃了晃头，想驱散笼罩着[Skeptical:他/她]脑子的那团迷雾。,
{给出24份口粮。}我能匀出些口粮，帮你们把体力养回来，可往后你们就得靠自己了。,
你这儿蹭了点煤灰呢……,
如你所愿。,
最近有什么新消息吗？,
[i]不[/i]。不能再杀了！到此为止。,
那个[破产追随者2:男人/女人]正挥着[i]我的[/i]剑！,
呃，那股烧焦的肉味。我想它怕是永远也散不掉了。,
这座岛现在是我的地盘了。你将是我在这里集结的军队里第一个战士。,
别小看阿斯莱夫尔！他的实力可不比你差。,
我会小心行事。,
感激不尽。我们会去找到她的。,
他脸上顿时有了光彩。,
埃塞尔雷德目送奥斯雷德被拖走，随即把目光转向了利奥弗里克。,
你还好吗，莫尔坎特？,
就跟你接下来要遭的罪一样，你这杂碎！,
他的笑容里透着一种古怪的苦涩。,
如果你以为打仗光靠胆子就够了，那这场仗可比我预想的要省事多了！,
也许我该走了。,
戴尔的声音里迸发出怒火与羞耻。,
他瞪大了双眼。,
说得好——至少我们取他们性命的时候，总该有直视他们眼睛的这点担当。,
他们好像把焦油存在了下面——是用来做火把的。,
我希望他独自在外能平安无事。他是名强悍的战士，所以……但愿他能找到一个新的领主为之效力。,
[追随者2:名字]拼命克制住[追随者2:他/她]的惊讶。,
一艘泊在港口的船的船长声称，他收了耶灵的赫罗德盖尔达的钱，把攻击我的人送到了这里。,
这一切只发生在眨眼之间。前一刻，诺森布里亚的埃塞尔雷德一世还因为无能为力而暴跳如雷；下一刻，他已倒在地上，双手抓着自己被割开的喉咙。,
趁他们还没发现，我们可以先从这里撂倒他们几个。你觉得呢？,
当初来这里求财，我本就看出几分道理，而我们也确实找到了那份无人看守的财富。,
说得极是——最好留着力气对付国王的侍卫。那我们继续前进吧。,
一只可爱的猎犬，连第一个冬天都还没见过。是我妹妹送给我的伙伴。,
她瞧见你脸上的神色，不禁笑出声来。,
你觉得你有什么能拿得出手的东西给我们？,
那不是阿尔瓦尔多的女人吗？,
我救了你一命，唐科尔斯。这总该算点情分吧。,
要是你手头正缺药草，兴许我们能去采些回来。,
看来你懂得怎么使那玩意儿。,
一个男人自灰暗中步出，那模糊的身影摇晃着凝聚成形。你看不清他的脸，但你记得他。,
别把食物玩坏了，赫罗德盖尔达。,
男孩揉着腕上磨破的皮，转身看向你。他的目光里多了一种从前没有的冷硬。,
你和你的亲随队正沿着一条杂草丛生的深沟底部的溪岸行进，身后骤然响起的一声惊叫猛地抓住了你们的注意。,
阿斯特丽德端详着[玩家:父亲]的遗物，泪水盈满了眼眶。,
关你什么事？,
告诉我你的需求，我会为自己的手艺开个公道的价钱，而最终成品[i]决不[/i]会让你失望。,
那可是[i]整整三艘[/i]长船——说不定更多！少说也有一百来号人，个个壮得像巨人，而且武装到了牙齿。,
我连我的黑暗王护符都给你！求你了……别把我做的事说出去……,
铲平那伙动用私刑的暴民。,
他兄弟们的尸身横七竖八地散落在你厅堂前的院落里。看来，奥塔尔已是他父亲延续香火的最后一线希望了。,
我想我还没完全缓过来，父亲已经不在了。,
那商人大老远就认出了你，忙不迭地招呼你到他的摊位前去。,
你纵情劫掠，拿走心仪的一切，只留给乌鸦一地的腐肉。,
他点了点头。,
他拾回长矛，脸上挂着一丝谦逊的微笑。,
当然。若你能在百忙之中抽出片刻，该去和比约格迪丝谈谈——艾芙拉的情况，似乎是愈发不好了。,
鲁里克把门推开一条缝，手中在背后攥着一把刀。待看清你的脸，他便从门边让开，放你进去。,
是的，我们方才在打听那座坟的事。,
你该来斯凯恩，和我一道干。我们正缺一个手艺精湛的符文雕刻师，而且托尔芬木工活那边也总缺人手。,
格里穆尔夫还在那儿叮叮当当地敲着那片栅栏。,
那可怜的女人哪经过这般恫吓，吓得瞠目结舌，目光在你和你的亲随队之间慌慌张张地来回乱瞟。,
老人满不在乎地一挥手，背过身去不再理你，顾自端详起一束用细绳悬着的槲寄生。这姿态，当真是无畏到了极点。,
可算是说着了。我和我老婆，地里的收成是甭想了。,
你要是赶上她心情好的时候，我知道她准能帮你把决斗的事摆平。,
你若生在别处，或换个时代，没准儿会成个哲学家，也可能是个奴隶。说不定一辈子就那么盯着发光的玻璃看。,
连那条河都救不了他们。,
咱就别客套了吧？让我瞅瞅你的货。,
看样子，今天会是清闲的一天。,
那我就是她最不惦记的那个？,
那位女士说话的腔调异常生硬，就像在主持仪式的女祭司似的。,
老天保佑，这家伙居然真的停下来琢磨起来了。,
{离开。},
啊，没错，艾菲问过我，能不能跟你一块儿走。我跟公主说了，她想做什么都由着她。,
他兴奋得差点鼓起掌来，却又硬生生忍住了。,
那场劫掠没能得手。,
我不是来这儿客套的。,
告诉我——悬崖上那座建筑是什么来头？,
谢了。,
斯库勒是个强敌。我们根本没那个能耐打败他。,
唐科伊斯的家宅，被我们的一个对头斯卡基袭击后付之一炬。,
那女人的眼中燃起了怒火。,
泥地里留下了狼的足迹，一路向南。是差不多六只上下的成年狼。,
你都在跟谁打交道？,
你这残忍的[Player:男人/女人]！你这残忍的，残忍的，[i]没心肝的[/i]东西——,
也许晚点再说。,
侦察队长双手在背后紧扣，在一个小圈子里踱来踱去。她抬头见你走近，虽强忍着，还是有些不耐烦地厉声说道。,
我自然希望这不会是你能布置出的最强防御。你能否告诉我，你在西方长达数月的远征，难道没给家族带回来半点繁荣？没结成什么能庇护你们的联盟吗？,
你昨晚在哪儿？,
我虽不欣赏这等诡计，却也否认不了它们的效用。,
侍卫队里有这么个不显山露水、却又如此危险的人物，真是一笔巨大的财富。,
老人向那座坟墓比了个手势，随即退开一步。两块石头上都刻着一个你认得的符号：正是塞法徽章的轮廓。,
你要是能掏出钱，我就卖给你，但凭你那臭名声，得多付一笔额外的价钱。,
是那支箭射死了巴德尔。,
没你什么事，用不着操心。,
现在就买，别等断货！,
去斯凯恩森林里，一栋破败房子旁边，搜搜那口井。,
那我想我俩倒是半斤八两，谁也别说谁。,
你难道没在听吗？我有[i]足够[/i]的理由要把斯凯恩置于我的掌控之下！,
太好了！我这位朋友也是日德兰来的。就南边，靠近萨克森边界那儿。,
晚餐齐备，阿斯莱弗舀起一大勺炖菜，挨着罗斯克瓦坐下。这位战士看来心情格外地好。,
哦，见鬼，那一下真有看起来那么疼？,
{爬上去。},
他咆哮到一半，硬生生停住，随即定了定神，整理了一下袍子。,
我很高兴国王和雅尔都同意授给我这个头衔，其实这地方的人私底下已经叫了好一阵子了。,
就依你。也许日后，你我还有狭路相逢的时候。去与上帝同行吧。,
你做下这一切，就为了让我认命吗？,
他的眉头锁得更紧了，死死咬紧了牙关。,
她探过身，手越过桌面，覆在你的手上。,
{进攻！},
赫罗德盖尔达对那个年轻女巫扬起眉毛，愈发迷惑不解。,
我对此倒没什么异议。,
他们昨晚没回来。再怎么着，也不该在外头待这么久！我怕是凶多吉少了，可我在营地里还有职责，没法脱身去找他们。,
我们决意接受你的提议，但不会去杀那些修女。我们会助你冲过那道门，若是村民赶到，我们也会帮你挡住他们。仅此而已。,
火炬,
哈夫丹是一个地盘稍大的氏族的领主，领地毗邻你家东部。他神情肃穆，待你走近时，重重地点了点头。,
只要你继续保我们独立，我们便会为你的入侵助一臂之力。,
说到那头猪……,
等待格外漫长。次日，日头开始西沉……,
嘿，那边的朋友。这两个人是你手下的？,
拿下这条通道，我们就能畅通无阻地直捣埃奥福威克了。预计沿途不会遭遇多少抵抗——当然，也没什么值得惊动你的大事。,
待你确信这地方已足够安全，你转向鲁里克，他用一个伤感的微笑迎接着你。,
还有什么要准备的？,
埃迪斯的儿子向你恭敬地点了点头。她的几个男孩一向懂事守礼。,
冷静点。我想我这儿有件东西，能助你一臂之力。,
很遗憾事情走到这一步。我本以为你会和默丁合得来。他总把基督教压制古老信仰的事挂在嘴边。,
铁蒺藜毒药,
[Drinker:Name]被呛得啤酒喷溅，洒出杯沿。[Drinker:He/She]甩开杯子，整个人被一阵剧烈咳嗽攫住，向前扑倒，双手双膝撑在地上。眼泪和鼻涕糊了[Drinker:Name]满脸，[Drinker:he/she]拼命喘着粗气。,
我——[i]真他妈该死[/i]。这个我没法给你打折——我得把能弄到手的每一块银币都拿去还这笔债。,
